layer_dim,num_layers,depth,alloc_memory,res_memory,max_alloc_memory,f1_score
42,7,4,66.92626953,252,4337.97168,0.5503643
38,6,4,52.52099609,184,818.4755859,0.545482189
41,6,3,55.00585938,168,391.0991211,0.540304974
59,7,4,90.6484375,466,3129.154297,0.538566109
48,5,4,55.43701172,182,808.6303711,0.537462564
36,7,4,57.66503906,192,3271.09668,0.536078857
36,7,4,57.66503906,192,4337.97168,0.536078857
56,7,4,85.95410156,422,5985.327148,0.535836011
38,8,4,67.57617188,262,4651.262207,0.535225508
38,8,4,67.57617188,262,4563.965332,0.535225508
29,6,4,43.77978516,120,3578.815918,0.534988434
40,5,3,46.14892578,134,1664.572266,0.534635802
32,7,4,52.14160156,196,3578.815918,0.531159146
54,6,4,72.11132813,320,4579.039551,0.53050266
41,5,3,47.69970703,134,249.6074219,0.529427307
48,7,4,74.79736328,268,3759.98291,0.524827414
28,6,3,41.05664063,138,3481.400879,0.522686549
25,6,3,38.22314453,92,2039.646973,0.520148127
43,4,4,42.2734375,130,3684.631348,0.51880616
32,3,3,29.75439453,80,1871.216797,0.517037378
63,6,3,78.37548828,276,1112.441406,0.516278362
43,8,4,76.65234375,304,1391.759277,0.515915292
57,2,4,32.46289063,132,97.77050781,0.514803193
33,7,4,53.24169922,184,619.6855469,0.513222589
43,5,3,48.63867188,156,4179.648926,0.51276992
46,5,3,52.14501953,162,1959.360352,0.512064283
54,6,2,66.08300781,216,1620.498047,0.509911443
63,7,3,91.69482422,336,240.6333008,0.508727051
49,5,4,56.15722656,188,3537.85791,0.507718241
51,5,4,57.84082031,216,4905.305176,0.50769306
53,6,4,70.10888672,288,5580.278809,0.50567114
10,7,3,17.98193359,44,27.32568359,0.503608251
19,4,2,26.75195313,56,2684.007324,0.502138721
46,7,4,71.02246094,264,2496.85498,0.501341326
35,7,4,55.85693359,188,3179.93457,0.498630808
45,6,2,56.33203125,184,1247.057617,0.49307398
23,6,3,36.31201172,102,1632.252441,0.492169353
50,5,4,57.70458984,188,3610.134766,0.490338758
59,3,2,41.71289063,108,1739.746094,0.479255757
34,4,3,35.84570313,104,4779.780762,0.477969599
60,7,4,93.05761719,468,5885.978516,0.466449743
14,8,2,31.984375,70,444.6958008,0.451811196
41,6,1,50.70166016,164,1636.976074,0.436931497
59,4,1,49.69677734,140,3779.59375,0.410917299
2,8,4,18.53613281,36,1144.480469,0.34518729
51,1,3,23.15087891,74,3281.94873,0.320448816
48,1,4,22.77587891,78,829.5615234,0.319661037
36,2,1,26.78710938,56,2457.035645,0.29450702
39,3,1,32.61767578,72,1007.556152,0.29397493
29,1,1,20.20214844,36,705.4448242,0.179979805
